,name,percent_change,values
BNB,90d,30.73297958
Solana,1h,1.02482335
Solana,24h,6.51166787
Solana,7d,16.31749644
Solana,30d,-6.18692542
Solana,60d,58.92371896
Solana,90d,141.98145275
XRP,1h,0.47355593
XRP,24h,2.76094133
XRP,7d,-1.0070286
XRP,30d,-19.99542263
XRP,60d,-20.00016233
XRP,90d,-17.68702678
USDC,1h,0.01703302
USDC,24h,-0.01714314
USDC,7d,-0.01836389
USDC,30d,-0.00228495
USDC,60d,0.02171247
USDC,90d,-0.01043107
Cardano,1h,0.33093932
Cardano,24h,3.75659047
Cardano,7d,8.88682628
Cardano,30d,-16.52431187
Cardano,60d,24.70165647
Cardano,90d,56.27724136
Avalanche,1h,1.1641512
Avalanche,24h,4.24320595
Avalanche,7d,13.81614328
Avalanche,30d,-14.47990597
Avalanche,60d,54.94544847
Avalanche,90d,189.52750162
Dogecoin,1h,0.15706417
Dogecoin,24h,1.10442896
Dogecoin,7d,2.46774301
Dogecoin,30d,-12.92475557
Dogecoin,60d,-11.45084695
Dogecoin,90d,15.77744664
TRON,1h,0.45320053
TRON,24h,4.01556815
TRON,7d,3.60883619
TRON,30d,7.7800574
TRON,60d,12.7189659
TRON,90d,20.60822662
Chainlink,1h,1.12708237
Chainlink,24h,15.11454553
Chainlink,7d,31.96412833
Chainlink,30d,18.19443098
Chainlink,60d,12.51500849
Chainlink,90d,60.69508445
Polkadot,1h,0.53476283
Polkadot,24h,3.12843468
Polkadot,7d,7.83091172
Polkadot,30d,-18.78347185
Polkadot,60d,21.63173681
Polkadot,90d,47.39840807
Polygon,1h,0.12261287
Polygon,24h,5.06559719
Polygon,7d,11.75687342
Polygon,30d,-16.23630663
Polygon,60d,-0.7296689
Polygon,90d,21.91941818
Toncoin,1h,0.58332845
Toncoin,24h,1.9585476
Toncoin,7d,0.47119569
Toncoin,30d,-7.99044005
Toncoin,60d,-13.80802443
Toncoin,90d,-6.90608047
